Software Name,Amit's Notes,Version ,Software Classification,Operating system,Self service,Licenses Required,GITSC Ticket number,Remarks,Category,Application Lead,Software Manufacturer,Packaged,OSD,Core O/S - Technical,Vulnerable,Approved date,Scanned date,Additional action,Action Details,GIS Reco Action,Comment ,Resource,Sarah's comment,,Tanium Name,Tanium Vendor,Tanium version,Defender Name,Defender Vendor,Dedender Lastest version,,WS1 Hub,WCS Managed Group Name,Comment,Exception based,Assignment Mode,Pushed Globally,Visible in HUB (Self Service),OLD License Required,To be checked,,Software name + Version,Publisher updated,Publisher on Oomnitza list review,Feedback,Software name to be loaded in Oomnitza,Version to be loaded in Oomintza,Final Software name,Final Version
Escort console Pro,,2.12.07,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Cryopak,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Escort console Pro 2.12.07 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Esko Studio Viewer,,16,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Esko,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Esko Studio Viewer 16 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EV,,3,Grey List,Windows OS,,Locally management,," Elsa Yuriko Tsuji, Donna van Weeren",Supply Chain,Nicola Rautenbach,,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,EV 3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Evaluation Software PCA 3000,,174.03.xx_3.43_00669,Grey List,Windows OS,,Locally management,42280514,,Supply Chain,Nicola Rautenbach,JUMO,No,No,,,11/8/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Evaluation Software PCA 3000 174.03.xx_3.43_00669 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EVSW,,3,Grey List,Windows OS,,Locally management,41893518,Software installation file drive is documented in the ticket ,Supply Chain,Francisco Ramos,Comark,No,No,,Pending,7/12/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,EVSW 3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
exacqVision Media Player,,8.6.1.115131,Grey List,Windows OS,,Locally management,, ,Supply Chain,Simon Kendall,exacq,No,No,,Pending,7/14/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,exacqVision Media Player 8.6.1.115131 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
eXact Manager for PC,,v1.3.3816,Grey List,Windows OS,,Locally management,42260153,,Supply Chain,Francisco Ramos,eXact Manager for PC,No,No,,No,8/6/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,eXact Manager for PC v1.3.3816 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Excel 2003 XML Tool (add in),,,Grey List,Windows OS,,Locally management,, ,Supply Chain,Nicola Rautenbach,,No,No,,Pending,8/6/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Excel 2003 XML Tool (add in)  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Exhibitor,"looks like a software for Trade show, should be removed as Manufacturer not present",2.05,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,,No,No,,Pending,6/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Exhibitor 2.05 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Export goods refund (exempt) tax declaration management system software (foreign trade stand-alone version),,10.07.0006,Grey List,Windows OS,,Locally management,42038512,,Finance,Vijayalakshmi Chandrashekar,南京擎天全税通信息科技有限公司,No,No,,Pending,3/20/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Export goods refund (exempt) tax declaration management system software (foreign trade stand-alone version) 10.07.0006 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ExpressionSuite,,1.1,Grey List,Windows OS,,Locally management,41734363, ,Global Technology (R&D),Frank Peake,Thermo Fisher Scientific,NO,No,,Pending,8/20/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,Check before installation,,,ExpressionSuite 1.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ExScan S,,3.0.0.1,Grey List,Windows OS,,Locally management,42151885,,Supply Chain,Francisco Ramos,shining3d,No,No,,Pending,11/30/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,ExScan S 3.0.0.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EXScan S,,3.1.0.1,Grey List,Windows OS,,Locally management,42331082,,Supply Chain,Francisco Ramos,shining3d,No,No,,,1/31/2022,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,EXScan S 3.1.0.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Extended Asian Language font pack for Adobe Acrobat Reader DC,,2200120085,Green List,Windows OS,,Freeware,197158,,GSSO XCAT,Jagdish Janjale,Adobe,No,No,,,8/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensis Fusion,,,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Extensis,No,No,,Pending,8/6/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Extensis Fusion  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
eztemp,,,Grey List,Windows OS,,Locally management,41734124, ,Supply Chain,Nicola Rautenbach,Dealertrack,No,No,,Pending,9/14/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,eztemp  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
F5 Firepass Client,,70.2010.1020.1457,Green List,Windows OS,,Centrally management,, ,GISSO ESC - Infrastructure,Pushkar Tarte,F5 Networks,No,No,Yes,No,8/6/2017,,Decommission,"remove, no longer iin use",no review comment,no longer used should be removed,,Network,,,,,,,,,No,,Decommission proposal  - Check current installations with Mario Muñiz,,,,,Global,,,F5 Firepass Client 70.2010.1020.1457 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Facebook Spark AR Studio,,113,Grey List,Windows OS,,Locally management,42224651,,Marketing,Sudhakar Mane,Facebook Inc.,No,No,,No,5/13/2021,5/23/2021,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Facebook Spark AR Studio 113 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FactSet,,2016.36.070.032,Grey List,Windows OS,,Locally management,42895395,,Finance,Nirmala Iyer,factset,No,No,,,11/16/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FactSet 2016.36.070.032 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Factura Electronica,,,Grey List,Windows OS,,Locally management,41716808, ,Finance,Nirmala Raman,,No,No,,Pending,7/20/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,Check before installation,,,Factura Electronica  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FAG Detector III Trendline,,3.8.10.2552,Grey List,Windows OS,,Locally management,42347974,,Supply Chain,Francisco Ramos,Schaeffler Technologies AG & Co. KG,No,No,,,3/15/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FAG Detector III Trendline 3.8.10.2552 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Faktenschmied Scout / Faktenschmied Brandfacts,,3.7.1,Grey List,Windows OS,,Locally management,41741336, ,Marketing,Helen Kirwan,FaktenSchmied,No,No,,Pending,9/5/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Faktenschmied Scout / Faktenschmied Brandfacts 3.7.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FARGO DTCe Direct-to-Card Printer,,NA,Grey List,Windows OS,,Locally management,42229109,,Supply Chain,Francisco Ramos,HID,No,No,,No,6/29/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,FARGO DTCe Direct-to-Card Printer NA Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Crowdstrike ,,7.14.18407,Green List,Windows OS,,Centrally management,SR-549294,,Information Security,"Sairam Reddy
",CrowdStrike,WIP,No,,,4/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FastStone Capture,,9.5,Grey List,Windows OS,,Centrally management,42230534,,eCommerce,Luis Arturo Martinez,Faststone,No,No,,No,8/10/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,FastStone Capture 9.5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FCI,,2.2.8,Grey List,Windows OS,,Locally management,42290564,,Finance,Nirmala Iyer,BR-Government,No,No,,,10/26/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FCI 2.2.8 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FDA Planbuilder,,1.1.8,Grey List,Windows OS,,Locally management,, ,Supply Chain,Cesar Velasco,FDA,Yes,No,,No,8/6/2017,,Upgrade,Patch it up to the current version and upload it to SSR,no review comment,version 2.0 is available,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,FDA Planbuilder 1.1.8 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FDD-USB manager software,,1.2,Grey List,Windows OS,,Locally management,, ,Supply Chain,Nicola Rautenbach,ABB,No,No,,Pending,9/22/2016,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,FDD-USB manager software 1.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FIBRA,,1.0.4.0,Grey List,Windows OS,,Locally management,42109398,,Global Technology (R&D),Matthew Rodman,DIA-STRON,No,No,,Pending,8/24/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,FIBRA 1.0.4.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Field Care, Device Configuration - package",,1.27.01,Grey List,Windows OS,,Locally management,, ,Supply Chain,Nicola Rautenbach,Endress+Hauser,No,No,,Pending,9/22/2016,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,"Field Care, Device Configuration - package 1.27.01 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Field Data Manager Software,,1.4.4,Grey List,Windows OS,,Locally management,41975565,,Supply Chain,Francisco Ramos,Field Data Manager Software,No,No,,Pending,11/22/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Field Data Manager Software 1.4.4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Figma,,98.14,Grey List,Windows OS,,Locally management,42234487,,Application Architecture - Portal - HANA,Tommy Thomas,Figma,No,No,,No,8/9/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Figma 98.14 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Figma,,116.12.4,Grey List,Mac OS,,Locally management,SR-305551,,Application Architecture - Portal - HANA,Tommy Thomas,Figma,,,,,10/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Guru,,R38,Grey List,Windows OS,,Locally management,SR-452239,,Supply Chain,Simon Kendall,Coupa,No,Yes,,,1/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figma,,107.0. 0.,Grey List,Mac OS,,Locally management,SR-312112,,Application Architecture - Portal - HANA,Tommy Thomas,Figma,No,,,,18/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuestionario Anual,,2023,Grey List,Windows OS,,Locally management,SR-541446,,Finance,Anne-Marie Fitzpatrick,"Banco De Espana",No,,,,4/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileZilla,,3.56,Green List,Windows OS,,Freeware,42293180,"Ok, OS",Open Source,open_source@colpal.com,"FileZilla",Yes,No,,,10/29/2021,,,,,,,,,,,,,,,,Yes,N/A,,,OnDemand,Yes,Yes,License not required ,,,FileZilla 3.56 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Firebird,,4.0,Grey List,Windows OS,,Locally management,42269848,,W&CS ISM,Patty Vollmar,Firebird Foundation Incorporated,No,No,,No,8/26/2021,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Firebird 4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fischer Packaging Asset System,,6.1,Grey List,Windows OS,,Locally management,, ,Supply Chain,Maneerath Pornchuaykanchana,Fischer Technology,Yes,No,,Pending,9/22/2016,,,Recommended VT scan.,no review comment,-,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,,,Fischer Packaging Asset System 6.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fitflow,,1,Green List,Windows OS,,Centrally management,,,Global Technology (R&D),Jack Weiss,Fitflow,Yes,No,No,No,9/22/2016,,, ,no action required,"no info in cvedetails, no vulnerabilities found in Google","Ticket-42186808
https://aodocs.altirnao.com/?locale=en_US&aodocs-domain=colpal.com#Menu_viewDoc/LibraryId_SCHp23iuZXMJff84vk/ViewId_SCHqt9i6GiSkVPFHre/DocumentId_SPArZv2yfkKo09kloX",,,,,,,,,,Yes,N/A,,,OnDemand,Yes,Yes,Global,,,Fitflow 1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fizz Aquisition,,2.51C Update,Grey List,Windows OS,,Locally management,41729523, ,Global Technology (R&D),Frank Peake,BIOSYSTEMES,No,No,,Pending,9/22/2016,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Fizz Aquisition 2.51C Update Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fizz Portable,,2.60.3.0,Green List,Windows OS,,Centrally management,41757745,priscila_blanco@colpal.com,Global Technology (R&D),Jack Weiss,BIOSYSTEMES,Yes,No,No,No,9/22/2016,,, ,no review comment,"no info in cvedetails, no vulnerabilities found in Google",,,,,,,,,,,,,Check installations and validate with App lead,,,,,Global,,,Fizz Portable 2.60.3.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Flex Builder 3 Professional, Eclipse Mars",,4.5,Grey List,Windows OS,,Locally management,, ,Supply Chain,Maneerath Pornchuaykanchana,Adobe,No,No,,Pending,9/22/2016,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,"Flex Builder 3 Professional, Eclipse Mars 4.5 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Flipping Book Publisher,,2021.2.1,Grey List,Windows OS,,Locally management,42240875,,Analytics,Sudhakar Mane,Flipping Book,No,No,,No,6/21/2021,6/21/2021,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Flipping Book Publisher 2021.2.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FLIR QuickReport,,1.2,Grey List,Windows OS,,Locally management,42226282,,Supply Chain,Francisco Ramos,"FLIR Systems
",No,No,,,3/13/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FLIR QuickReport 1.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Flowlink,,5.1,Grey List,Windows OS,,Locally management,42113065,,Supply Chain,Simon Kendall,Teledyne,No,No,,Pending,9/4/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Flowlink 5.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fluke Smart View,,1,Grey List,Windows OS,,Locally management,41735871, ,Supply Chain,Aditya Agarwal,Fluke,No,No,,Pending,8/23/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,Check before installation,,,Fluke Smart View 1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Foamscan,,3.10.1.0.,Grey List,Windows OS,,Locally management,42076346,,Global Technology (R&D),Matthew Rodman,TECLIS SCIENTIFIC,No,No,,Pending,6/12/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Foamscan 3.10.1.0. Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DOMO Workbench,,5.2,Grey List,Windows OS,,Locally management,#SR-179927,,Analytics,Tommy Thomas,"DOMO Inc",No,No,,No,7/6/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Font AMATIC SC REGULAR,,,Grey List,Windows OS,,Locally management,41851464,,Marketing,Helen Kirwan,AllFont.net,No,No,,Pending,4/11/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Font AMATIC SC REGULAR  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Fonts:
CORE SANS A BODY
CORE SANS A REGULAR
CHIVO-BOLD
CHIVO-BOLDITALIC
CHIVO-LIGHT",,NA,Grey List,Windows OS,,Locally management,41630434, ,Customer Development,Esme Basson,,No,No,,Pending,9/22/2016,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,"Fonts:
CORE SANS A BODY
CORE SANS A REGULAR
CHIVO-BOLD
CHIVO-BOLDITALIC
CHIVO-LIGHT NA Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FootSwitchv6.9.9,,6.9.9,Grey List,Windows OS,,Locally management,42276759,,Finance,Nirmala Iyer,PCsensor,No,No,,,10/29/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FootSwitchv6.9.9 6.9.9 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Forescout admin console,,8.0.1,Grey List,Windows OS,,Locally management,41994166,,Information Security,Mark Leone,Forescout Tech,No,No,,Pending,1/15/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Forescout admin console 8.0.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fortress IQ sensor,,2.2.8,Grey List,Windows OS,,Locally management,42081819,,Finance,Nirmala Raman,FortressIQ,No,No,,Pending,6/25/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Fortress IQ sensor 2.2.8 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FossManager Mosaic,,8.7.3.5,Grey List,Windows OS,,Locally management,42253443,,Information Security,Nikhil Chawla,Foss,No,No,,No,10/6/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,FossManager Mosaic 8.7.3.5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FP-PostBase,,Navigator_1.32_64,Grey List,Windows OS,,Locally management,42083181,https://www.postalia.co.jp/ ,HR & Training,Nayana Pai,FP,No,No,,Pending,6/30/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,FP-PostBase Navigator_1.32_64 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FPSICO,,4,Grey List,Windows OS,,Locally management,42098385,,Conn. Health - DTC,Kris O'Brien,N/A,No,No,,Pending,7/29/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,FPSICO 4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FQ Touchfinder - Simulator Software,,2.1,Grey List,Windows OS,,Locally management,, ,Supply Chain,Cesar Velasco,Omron,No,No,,Pending,9/22/2016,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,FQ Touchfinder - Simulator Software 2.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Frame App,,2,Grey List,Windows OS,,Locally management,42126310,,W&CS ISM,Patty Vollmar,Nutanix,No,No,,Pending,9/29/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Frame App 2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Frame Desktop Client,,5.3.0,Green List,Windows OS,,Centrally management,42167922,,W&CS E2E,Jim Arcure,Frame,Yes,No,No,No,6/16/2021,,,,,42167922,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Global,,,Frame Desktop Client 5.3.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FreeCAD,,0.16,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,FreeCAD,No,No,,Pending,2/16/2017,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,FreeCAD 0.16 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Freeweigh.Net System,,8.1,Grey List,Windows OS,,Locally management,41978515,,Supply Chain,Nicola Rautenbach,Mettler Toledo,No,No,,Pending,12/4/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Freeweigh.Net System 8.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FTDI driver,,2.12.36.4,Grey List,Windows OS,,Locally management,42337543,,Global Technology (R&D),Matthew Rodman,FTDI,No,No,,,2/22/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FTDI driver 2.12.36.4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FUTURA Font Family,,1.0,Grey List,Windows OS,,Locally management,41856747,Software installation file drive is documented in the ticket ,Marketing,Christopher Bardi,Futura,No,No,,Pending,5/12/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,FUTURA Font Family 1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fuzzy Logic Addins,,1.3.0.0,Grey List,Windows OS,,Locally management,, ,HR & Training,Nayana Pai,Microsoft,Yes,No,,Pending,9/22/2016,,,Recommended VT scan.,no review comment,up to the latest version but recommnened VT scan,,,,,,,,,,,,,Check installations and validate with App lead,,,,,Site restricted licensing,Yes,,Fuzzy Logic Addins 1.3.0.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fuzzy Lookup - Excel Add in,,,Grey List,Windows OS,,Locally management,, ,HR & Training,Nayana Pai,Microsoft,No,No,,Pending,9/22/2016,,,,no review comment,,,,,,,,,,,,,,,,,,,,Yes,,Fuzzy Lookup - Excel Add in  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FX ApeosPort,,NA,Grey List,Windows OS,,Locally management,42116843,,Collaboration,Patty Vollmar,https://www.fujixerox.co.jp,No,No,,Pending,10/8/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,FX ApeosPort NA Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fxall Trading,,6.9.6.16,Grey List,Windows OS,,Locally management,, ,Finance,Anne-Marie Fitzpatrick,Refinitiv,No,No,,Pending,9/22/2016,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Fxall Trading 6.9.6.16 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fxall Trading,,7.2.0.65,Grey List,Windows OS,,Locally management,41973144,,Finance,Anne-Marie Fitzpatrick,Thomson Reuters,No,No,,Pending,11/22/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Fxall Trading 7.2.0.65 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FXAll Trading,,7.8.1.4,Grey List,Windows OS,,Locally management,42210860,,Finance,Anne-Marie Fitzpatrick,Thomson Reuters,No,No,,No,5/13/2021,5/26/2021,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,FXAll Trading 7.8.1.4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GaBi Envision,,,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Sphera,No,No,,Pending,9/22/2016,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,GaBi Envision  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Galileo,,"7.0.6.8241",Grey List,Windows OS,,Locally management,42232675,,Supply Chain,Nicola Rautenbach,Micro Innovation AG,No,No,,No,6/5/2021,6/16/2021,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,"Galileo 7.0.6.8241 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gate Application - virtual camera for Google Meet,,1.0.,Grey List,Windows OS,,Locally management,42116255,,Strat. Rels. & SW Asset Mgmt.,Alberto Rebolledo,Shiraz Creative in partnership with Colgate Palmolive,No,No,,Pending,9/9/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Gate Application - virtual camera for Google Meet 1.0. Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GC Calculators,,1.2.14030.1719,Grey List,Windows OS,,Locally management,42281885,,Global Technology (R&D),Matthew Rodman,Agilent Technologies,No,No,,No,9/28/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,GC Calculators 1.2.14030.1719 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mecmesin Emperor,,,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Mecmesin,No,No,,Pending,8/6/2017,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Mecmesin Emperor  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gemalto,,NA,Grey List,Windows OS,,Locally management,42154735,,Global Technology (R&D),Matthew Rodman,N/A,No,No,,Pending,12/4/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,,,Gemalto NA Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gen 5,,5,Grey List,Windows OS,,Locally management,, ,Global Technology (R&D),Jack Weiss,Agilent Technologies,No,No,,Pending,9/22/2016,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,Gen 5 5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gen5,,11.19,Grey List,Windows OS,,Locally management,42256719,,Global Technology (R&D),Matthew Rodman,Agilent Technologies,No,No,,No,8/3/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Gen5 11.19 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Geneious,,,Grey List,Windows OS,,Locally management,, ,Supply Chain,Nicola Rautenbach,Geneious,No,No,,Pending,9/22/2016,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,Geneious  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Geomagic Design X,,2020.0.2,Grey List,Windows OS,,Locally management,42127285,,Supply Chain,Francisco Ramos,3D Systems,No,No,,Pending,9/30/2020,,,,no review comment,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Geomagic Design X 2020.0.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Geomagic Design X,,2020.0.3,Grey List,Windows OS,,Locally management,42245997,,Supply Chain,Francisco Ramos,3D Systems,No,No,,No,8/6/2021,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Geomagic Design X 2020.0.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
